date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:36:24	56686/56686	---M-Z	200	added ('OK')	text/css	etag:%22dd6e-5ec66ea85a640-gzip%22	https://caketheme.com/html/ruper/libs/mmenu/css/mmenu.min.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/libs/mmenu/css/mmenu.min.css	(from https://caketheme.com/html/ruper/index6.html)
08:36:25	45855/45855	---M-Z	200	added ('OK')	text/css	etag:%22b31f-5ee2018ccea80-gzip%22	https://caketheme.com/html/ruper/assets/css/responsive.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/assets/css/responsive.css	(from https://caketheme.com/html/ruper/index6.html)
08:36:25	771120/771120	---M-Z	200	added ('OK')	text/css	etag:%22bc430-5ee20205ec840-gzip%22	https://caketheme.com/html/ruper/assets/css/app.css	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/assets/css/app.css	(from https://caketheme.com/html/ruper/index6.html)
08:36:25	1677/1677	---M--	200	added ('OK')	image/png	etag:%2268d-5ec66e39ba140%22	https://caketheme.com/html/ruper/media/logo.png	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/media/logo.png	(from https://caketheme.com/html/ruper/index6.html)
08:36:26	92473/92473	---M-Z	200	added ('OK')	text/html	etag:%2216939-5ec6a9733dbc0-gzip%22	https://caketheme.com/html/ruper/shop-grid-left.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/shop-grid-left.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:26	66785/66785	---M-Z	200	added ('OK')	text/html	etag:%22104e1-5ee2017403000-gzip%22	https://caketheme.com/html/ruper/shop-details.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/shop-details.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:26	11085/11085	---M--	200	added ('OK')	image/jpeg	etag:%222b4d-5ec66e69691c0%22	https://caketheme.com/html/ruper/media/product/3.jpg	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/media/product/3.jpg	(from https://caketheme.com/html/ruper/index6.html)
08:36:26	12158/12158	---M--	200	added ('OK')	image/jpeg	etag:%222f7e-5ec66e69691c0%22	https://caketheme.com/html/ruper/media/product/1.jpg	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/media/product/1.jpg	(from https://caketheme.com/html/ruper/index6.html)
08:36:27	48691/48691	---M-Z	200	added ('OK')	text/html	etag:%22be33-5ec6a97249980-gzip%22	https://caketheme.com/html/ruper/shop-cart.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/shop-cart.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:27	58898/58898	---M-Z	200	added ('OK')	text/html	etag:%22e612-5ec6a97249980-gzip%22	https://caketheme.com/html/ruper/shop-checkout.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/shop-checkout.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:27	54441/54441	---M-Z	200	added ('OK')	text/html	etag:%22d4a9-5ec6a97155740-gzip%22	https://caketheme.com/html/ruper/page-my-account.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/page-my-account.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:27	45620/45620	---M-Z	200	added ('OK')	text/html	etag:%22b234-5ec6a97526040-gzip%22	https://caketheme.com/html/ruper/shop-wishlist.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/shop-wishlist.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:28	79864/79864	---M-Z	200	added ('OK')	text/html	etag:%22137f8-5ec73ac7fbcc0-gzip%22	https://caketheme.com/html/ruper/index.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/index.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:28	94666/94666	---M-Z	200	added ('OK')	text/html	etag:%22171ca-5ec6a96c90c00-gzip%22	https://caketheme.com/html/ruper/index2.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/index2.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:28	78485/78485	---M-Z	200	added ('OK')	text/html	etag:%2213295-5ec6a96d84e40-gzip%22	https://caketheme.com/html/ruper/index3.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/index3.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:28	92701/92701	---M-Z	200	added ('OK')	text/html	etag:%2216a1d-5ec6a96d84e40-gzip%22	https://caketheme.com/html/ruper/index4.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/index4.html	(from https://caketheme.com/html/ruper/index6.html)
08:36:29	99874/99874	---M-Z	200	added ('OK')	text/html	etag:%2218622-5ec6a96e79080-gzip%22	https://caketheme.com/html/ruper/index5.html	C:/My%20Web%20Sites/template_pwpbbaru/ambil%20isinya/caketheme.com/html/ruper/index5.html	(from https://caketheme.com/html/ruper/index6.html)
